000565.SZ,000691.SZ,000881.SZ,000985.SZ,002037.SZ,002054.SZ,002096.SZ,002165.SZ,002211.SZ,002226.SZ,002246.SZ,002319.SZ,002326.SZ,002360.SZ,002407.SZ,002408.SZ,002440.SZ,002455.SZ,002476.SZ,002497.SZ,002549.SZ,002562.SZ,002637.SZ,002666.SZ,002669.SZ,002709.SZ,002783.SZ,002802.SZ,002809.SZ,002810.SZ,002827.SZ,002909.SZ,002915.SZ,002917.SZ,300019.SZ,300041.SZ,300067.SZ,300072.SZ,300107.SZ,300109.SZ,300135.SZ,300163.SZ,300169.SZ,300174.SZ,300200.SZ,300225.SZ,300285.SZ,300321.SZ,300343.SZ,300405.SZ,300437.SZ,300522.SZ,300530.SZ,300535.SZ,300641.SZ,300665.SZ,300699.SZ,300721.SZ,300727.SZ,300758.SZ,300769.SZ,600160.SH,600165.SH,600230.SH,600273.SH,600299.SH,600309.SH,600352.SH,600370.SH,600378.SH,600500.SH,600800.SH,603026.SH,603041.SH,603110.SH,603188.SH,603192.SH,603227.SH,603379.SH,603681.SH,603683.SH,603725.SH,603790.SH,603822.SH,603823.SH,603906.SH,603916.SH,603968.SH,603977.SH,603980.SH,trade_date
-1.2367,-1.9851,-3.0879,-4.5051,-2.0,-5.7317,-2.5641,0.4255,9.9494,-1.6453,-2.0382,1.1045,-3.2143,-2.2346,-2.1739,-1.5777,-3.6058,-1.0736,-2.7211,-3.0812,-4.4925,-1.7937,-1.1445,-5.8704,-3.2258,-1.3042,2.819,-1.3365,-1.3699,-2.5964,-1.6949,-3.7344,1.7314,-3.0154,-1.6105,-0.9978,-4.0948,-3.2852,-2.9787,-4.0655,-3.1359,-2.2222,-10.0287,-5.2712,-3.913,-3.301,-3.1022,-3.2407,-5.0734,-9.9886,-2.0185,-0.4217,-0.6555,-3.6857,-2.8791,-1.7479,-0.2858,-3.2644,-3.3149,-3.7807,-2.786,-1.9417,-1.0025,-3.7303,-5.8722,-3.0019,-1.8696,-3.8188,-1.2862,4.8423,-0.5666,1.129,-5.3272,-1.7722,-2.2416,-3.2637,-3.21,-1.8373,-2.6207,-4.6816,-3.0649,-3.0026,-3.9063,-3.0932,-4.2735,-6.1786,-2.3346,-1.3741,-9.974,-4.2467,20190614
0.8913,1.7677,2.5579,1.244,1.2146,5.6701,1.3817,-0.4237,1.5411,1.2963,-0.1272,0.5124,0.5988,0.1866,2.3064,-0.4831,3.5685,-1.8072,0.5128,-0.5571,4.3403,0.4505,0.2869,1.2295,0.5824,0.3377,10.0408,0.1913,-0.5111,0.8227,2.4437,0.2079,-0.8813,0.0,1.3353,-0.1107,-0.2151,1.738,0.4274,-0.7827,1.4134,1.983,-9.9355,-3.2673,0.2179,1.378,2.5577,0.6658,3.7396,-4.8596,1.4505,1.467,3.4726,1.1252,1.3619,0.6481,-6.8067,0.6021,-0.7675,1.1679,2.8533,0.4178,1.7857,0.4323,5.7534,0.0,-0.5028,3.4829,4.3624,-3.6068,0.0,1.1419,3.4985,-0.3155,1.0063,1.1889,0.6461,0.0,0.6266,1.3248,1.8142,0.5249,0.7264,2.375,0.8041,0.7442,0.6265,-0.1248,10.0191,1.8538,20190613
0.0,-0.7519,-0.8454,-0.9582,0.4065,-2.1438,-1.0256,-0.4219,-1.1844,-0.9174,0.2551,-0.9306,-1.3002,0.1869,0.0824,1.2225,-3.754,-0.1504,-0.6791,-1.9126,-1.5385,-1.3333,-1.9691,2.9536,-0.249,-1.742,-2.3904,0.0,-1.1785,-1.9076,1.767,-1.5353,3.8536,0.0702,-0.8824,-1.3115,-1.2739,-1.9659,-0.2132,0.4232,-1.049,-0.8427,-9.9884,0.8487,0.5476,-0.9747,-0.9271,-0.9888,-1.2312,4.162,-1.1804,-1.0883,-0.2166,0.9226,-1.5326,-0.369,-3.4019,-0.1639,0.885,-2.5882,-0.9062,0.4196,-2.0,-1.63,-1.7937,1.8815,-0.798,-10.006,-0.6667,-3.6128,-0.5634,-1.7628,-0.3903,-0.1889,-2.9896,-0.6562,-1.053,0.5277,-1.5424,-2.9851,-1.5714,-0.6519,-2.1906,0.5868,-1.8049,3.9381,0.6304,-0.9883,1.7476,-3.7671,20190612
4.2751,3.1008,4.1509,3.9118,3.2168,6.7295,2.812,3.268,4.0493,3.2197,4.5333,1.7212,4.1872,2.8846,3.4983,1.995,4.4204,1.8377,2.0797,3.244,4.4643,3.4483,2.3022,2.5974,4.9652,2.4649,10.0086,3.1574,3.5632,2.0974,5.0172,-4.4031,4.0918,2.3707,4.1348,2.1205,3.9735,5.3867,3.304,4.0906,4.7619,3.7901,2.8674,5.8668,4.2237,2.6,2.4051,2.7778,3.5411,5.2071,2.9514,3.7641,1.4835,2.6968,4.6092,3.1399,2.5806,3.624,2.9027,2.8672,3.4629,3.6232,1.0101,4.056,6.5966,2.7053,4.8092,4.6688,3.4483,1.875,2.7496,3.6545,3.7905,3.251,3.9975,3.9563,3.3424,4.9861,3.485,4.8696,0.1431,5.2126,2.7998,3.2007,3.3217,5.8036,5.2239,2.0164,2.5896,3.0346,20190611
1.7013,5.4496,0.1259,-1.1947,0.8463,0.9511,1.426,-0.4338,1.2478,2.5243,0.9421,-1.5254,1.1208,1.5625,0.9475,4.4271,1.2669,-1.2103,3.777,7.0997,1.2658,0.6944,3.1157,2.8953,0.7902,3.4741,1.6667,0.3465,1.3986,0.0,-0.4107,-10.0352,1.417,0.2882,0.9274,2.0501,0.2212,-1.2278,1.566,-0.4386,0.738,-0.2907,9.9869,-9.9905,0.6897,-4.943,4.1529,-0.2703,-0.2825,2.4242,1.1414,-0.8706,0.2755,0.3658,1.6293,0.5742,1.6696,0.6842,0.171,2.366,2.0281,0.5831,8.4932,-0.2208,-0.947,-0.1929,1.1902,1.2133,0.6944,0.7698,1.1713,0.0,6.7655,0.2608,9.9791,0.5487,1.6996,1.1204,1.7321,1.2324,5.2711,1.8156,3.074,3.7702,1.1196,3.3846,0.9205,0.1262,-9.3863,2.8302,20190610
-3.9927,-4.9223,0.5063,-5.0067,-2.0718,-4.7865,-2.2648,-1.8987,-3.9384,-2.8302,-4.0052,-3.1993,-2.7845,-3.0303,-4.2079,-3.8798,-2.7915,-1.6369,-8.2508,-1.0463,-3.3217,-1.5945,-2.0349,-1.7505,-5.7899,-1.5158,-1.3841,-3.8095,-1.4925,0.3759,-2.535,-6.8089,-1.6426,-9.987,-3.2885,0.114,1.573,-1.8742,-3.1419,-1.7846,-2.8674,-1.7143,-4.9938,-0.8491,-5.1254,6.6937,-0.1974,-2.2457,4.1176,-4.8443,-2.6496,-1.0462,-0.5479,-3.3922,-3.3465,-2.1536,-0.0596,-2.1205,1.5634,-4.2443,-6.9436,-3.244,-5.4404,-1.8773,0.0948,-1.1439,-0.5262,-0.6345,-2.3729,0.7757,-1.0145,-2.2727,-1.0092,-1.0323,-0.693,-2.9294,-2.5048,-3.252,-3.9262,-0.5689,3.1056,-4.0214,-3.744,-2.4518,-1.794,-4.4118,-2.5285,-0.3145,-1.9469,-0.2894,20190606
0.0,0.7833,-1.8634,0.0668,0.277,-2.8894,-1.5437,0.8511,1.3889,0.189,0.7813,-5.7231,-0.1209,0.3802,2.1922,-0.3741,-1.2461,-1.4663,0.3311,1.0574,-0.1745,0.9195,-0.578,2.6966,-2.0259,1.2275,-2.2823,0.4785,-0.7407,0.9105,2.8826,10.0181,0.7018,-2.0952,0.1497,0.1142,-0.2242,0.0,-0.324,1.9448,0.0,1.1561,-3.8415,-10.017,4.0863,0.4073,-2.9374,0.598,-0.2933,3.1746,-0.8475,0.1232,0.0,1.8719,-0.3922,-0.2801,-1.8139,0.8441,1.3498,-2.7607,-0.8357,-1.6644,0.2597,0.6541,-2.5854,0.4789,-0.5755,-3.3816,0.0,-0.1408,0.1451,1.1494,-3.7952,1.1089,0.9797,1.0767,-1.6673,0.2717,-0.774,-2.2669,0.7825,2.1918,0.8526,-2.8499,1.2896,-1.4493,0.3273,0.6966,10.0292,1.3196,20190605
-3.3333,-1.5424,3.6036,1.1486,-2.5641,-1.233,-1.6863,-1.0526,-6.4935,-2.2181,-1.9157,10.0426,-1.5476,-3.1308,0.7647,-0.8653,-0.6961,-2.7104,-0.4942,-3.639,-2.0513,-3.3333,-0.1443,-2.1978,-1.4377,-1.8925,-1.087,-0.2387,-1.6256,-4.8375,-3.5099,0.4533,1.1151,-7.6788,-2.6239,0.1143,-3.2538,0.0,-1.9068,0.5044,-1.7606,-1.4245,2.46,-2.5238,-2.2198,-2.7723,-2.6725,-0.7256,-1.8705,-10.0,-0.5897,-4.5855,-0.4093,0.3613,-1.354,-0.5571,0.559,-1.4967,-3.1268,-3.1334,-0.8635,-0.2766,-3.75,-2.8934,-1.0959,-0.7605,-0.1567,0.2421,-2.6403,-2.1365,-1.4306,-2.8708,0.5621,-2.7901,-0.6259,-2.6212,-2.512,-0.8086,-3.221,-5.9155,-1.1601,-3.6939,-5.6864,-5.3161,0.0587,-7.5687,-2.0833,4.4312,9.9572,-2.432,20190604
-0.1751,-4.89,-1.5209,-3.268,-1.9841,-4.5882,-1.9835,-1.0417,0.1626,-3.3929,-2.7329,-6.746,-0.9434,-3.5524,-1.8349,-1.4616,-0.6149,3.3923,-2.7244,-2.6912,-3.7829,-3.4335,-0.7163,-2.7778,-2.111,-1.9815,-5.0794,-1.5508,1.1912,-3.2821,0.5996,4.0566,-6.5372,9.9936,-3.244,-1.9058,-2.537,-3.4884,-2.3785,-3.7037,-2.069,-3.5714,-4.3529,-4.6924,-1.9587,-9.9822,-0.8015,-1.7498,-2.2504,-7.2233,-1.0008,0.0588,-1.9267,-0.9306,-1.8975,-1.1019,-4.8432,-3.0108,-3.5107,-4.1181,-4.894,0.8368,-2.9126,-3.0116,-3.6939,-1.5903,0.6572,-0.3018,-2.2581,-0.3434,-1.6878,-2.0313,-2.8177,-4.4242,-3.0344,-2.4297,-3.5526,-3.6364,-4.1866,-9.9964,-2.1936,-2.9449,-6.2466,0.0,-4.7486,1.5646,-2.5,-0.5917,10.0118,-2.1693,20190603
