FinKG,37,default,SIGMOID,val,AUC,0.742047731458
FinKG,37,default,HAD,test,AUC,0.725149432734
FinKG,37,default,SIGMOID,test,AUC,0.735480398336
FinKG,47,default,HAD,val,AUC,0.839745918967
FinKG,47,default,SIGMOID,val,AUC,0.812185162953
FinKG,47,default,HAD,test,AUC,0.829947761275
FinKG,47,default,SIGMOID,test,AUC,0.80709195646
FinKG,61,default,HAD,val,AUC,0.813411000815
FinKG,61,default,SIGMOID,val,AUC,0.792479120134
FinKG,61,default,HAD,test,AUC,0.806760457496
FinKG,61,default,SIGMOID,test,AUC,0.782601555401
