,e1,e2,time,r
8321,SH601995,SZ002415,2019-04-22 10:09:00,fall
11198,SZ300059,SH601138,2019-04-23 11:28:00,rise
11628,SH601138,SZ300059,2019-04-23 11:28:00,rise
11393,SZ000858,SH600519,2019-04-23 13:49:00,rise
9781,SH600519,SZ000858,2019-04-23 13:49:00,rise
9758,SH600519,SZ300059,2019-04-23 14:23:00,rise
9522,SZ000568,SZ000858,2019-04-23 14:23:00,rise
11182,SZ300059,SH600519,2019-04-23 14:23:00,rise
11399,SZ000858,SZ000568,2019-04-23 14:23:00,rise
6273,SH603195,SZ000333,2019-04-23 22:01:00,cooperate
7449,SZ000333,SH603195,2019-04-23 22:01:00,cooperate
8377,SZ300104,SZ300059,2019-04-24 09:27:00,fall
8926,SZ300059,SZ300104,2019-04-24 09:27:00,fall
8941,SZ300059,SH600868,2019-04-24 09:39:00,fall
7938,SH600868,SZ300059,2019-04-24 09:39:00,fall
6831,SZ000063,SH600797,2019-04-24 09:42:00,cooperate
7550,SH600797,SZ000063,2019-04-24 09:42:00,cooperate
11411,SZ000858,SZ002714,2019-04-24 18:45:00,rise
9334,SZ002714,SZ000858,2019-04-24 18:45:00,rise
2150,SZ002945,SZ002939,2019-04-25 07:04:00,same_industry
1045,SZ002939,SZ002945,2019-04-25 07:04:00,same_industry
8929,SZ300059,SZ002558,2019-04-25 09:25:00,fall
9114,SZ002558,SZ300059,2019-04-25 09:25:00,fall
1815,SZ002299,SH600339,2019-04-25 11:08:00,same_industry
1564,SH600339,SZ002299,2019-04-25 11:08:00,same_industry
6494,SH600050,SH600115,2019-04-25 13:44:00,cooperate
6772,SH600115,SH600050,2019-04-25 13:44:00,cooperate
8334,SH600036,SH601318,2019-04-25 16:15:00,fall
9139,SH601318,SH600036,2019-04-25 16:15:00,fall
6508,SH600050,SH600271,2019-04-25 17:32:00,cooperate
6116,SH600271,SH600050,2019-04-25 17:32:00,cooperate
5093,SH600999,SZ000651,2019-04-25 18:27:00,supply
5471,SZ000651,SH600999,2019-04-25 18:27:00,supply
5470,SZ000651,SH600999,2019-04-25 18:33:00,supply
5094,SH600999,SZ000651,2019-04-25 18:33:00,supply
7702,SZ000039,SH601866,2019-04-25 21:10:00,cooperate
5940,SH601866,SZ000039,2019-04-25 21:10:00,cooperate
9031,SZ002456,SZ300059,2019-04-26 09:37:00,fall
8947,SZ300059,SZ002456,2019-04-26 09:37:00,fall
8674,SZ000166,SZ300059,2019-04-26 11:09:00,fall
8939,SZ300059,SZ000166,2019-04-26 11:09:00,fall
9500,SH600166,SZ000927,2019-04-26 13:25:00,rise
11461,SZ000927,SH600166,2019-04-26 13:25:00,rise
11888,SH601728,SZ002405,2019-04-26 15:52:00,invest
11916,SZ002405,SH601728,2019-04-26 15:52:00,invest
4723,SZ000166,SH600837,2019-04-26 17:45:00,increase_holding
4767,SH600837,SZ000166,2019-04-26 17:45:00,increase_holding
7574,SH601398,SH601997,2019-04-26 20:18:00,cooperate
7261,SH601997,SH601398,2019-04-26 20:18:00,cooperate
4785,SH600030,SH601788,2019-04-27 08:40:00,increase_holding
4910,SH601788,SH600030,2019-04-27 08:40:00,increase_holding
6032,SH601728,SZ002405,2019-04-27 13:58:00,cooperate
6442,SZ002405,SH601728,2019-04-27 13:58:00,cooperate
12892,SH600030,SH600663,2019-04-27 14:50:00,dispute
12762,SH600663,SH600030,2019-04-27 14:50:00,dispute
3903,SH601688,SZ000776,2019-04-27 16:26:00,same_industry
1987,SZ000776,SH601688,2019-04-27 16:26:00,same_industry
2066,SZ000063,SH600050,2019-04-27 19:17:00,same_industry
1550,SH600050,SZ000063,2019-04-27 19:17:00,same_industry
988,SH600519,SH600104,2019-04-28 16:43:00,same_industry
564,SH600104,SH600519,2019-04-28 16:43:00,same_industry
1367,SH601995,SH601162,2019-04-28 16:43:00,same_industry
416,SH601162,SH601995,2019-04-28 16:43:00,same_industry
2414,SH601166,SH600958,2019-04-29 08:03:00,same_industry
1176,SH600958,SH601166,2019-04-29 08:03:00,same_industry
6498,SH600050,SH600233,2019-04-29 11:07:00,cooperate
5767,SH600233,SH600050,2019-04-29 11:07:00,cooperate
10930,SH600332,SH601318,2019-04-29 12:12:00,rise
11572,SH601318,SH600332,2019-04-29 12:12:00,rise
6894,SZ002024,SH601211,2019-04-29 21:33:00,cooperate
7636,SH601211,SZ002024,2019-04-29 21:33:00,cooperate
8905,SZ300059,SH601318,2019-04-30 09:21:00,fall
9134,SH601318,SZ300059,2019-04-30 09:21:00,fall
8610,SZ000651,SZ300059,2019-04-30 09:26:00,fall
8920,SZ300059,SZ000651,2019-04-30 09:26:00,fall
8614,SZ000651,SZ300059,2019-04-30 09:36:00,fall
8903,SZ300059,SZ000651,2019-04-30 09:36:00,fall
2217,SH603858,SZ000538,2019-05-03 13:03:00,same_industry
2,SZ000538,SH603858,2019-05-03 13:03:00,same_industry
12219,SH600030,SZ002426,2019-05-06 20:13:00,be_increased_holding
12245,SZ002426,SH600030,2019-05-06 20:13:00,be_increased_holding
3761,SH601211,SH600028,2019-05-07 02:11:00,same_industry
1565,SH600028,SH601211,2019-05-07 02:11:00,same_industry
3307,SZ000333,SH600519,2019-05-07 17:48:00,same_industry
966,SH600519,SZ000333,2019-05-07 17:48:00,same_industry
10473,SZ000596,SH600809,2019-05-08 11:25:00,rise
9955,SH600809,SZ000596,2019-05-08 11:25:00,rise
10913,SH600887,SZ300498,2019-05-08 17:54:00,rise
9993,SZ300498,SH600887,2019-05-08 17:54:00,rise
2676,SH600369,SZ000166,2019-05-08 22:36:00,same_industry
2555,SZ000166,SH600369,2019-05-08 22:36:00,same_industry
8216,SH600519,SH601995,2019-05-09 01:54:00,fall
8311,SH601995,SH600519,2019-05-09 01:54:00,fall
9794,SH600519,SH601995,2019-05-09 05:57:00,rise
9972,SH601995,SH600519,2019-05-09 05:57:00,rise
8506,SZ002594,SH601633,2019-05-09 09:23:00,fall
8400,SH601633,SZ002594,2019-05-09 09:23:00,fall
134,SH600999,SH600369,2019-05-09 18:24:00,same_industry
2677,SH600369,SH600999,2019-05-09 18:24:00,same_industry
7337,SH601288,SZ000066,2019-05-09 22:49:00,cooperate
6312,SZ000066,SH601288,2019-05-09 22:49:00,cooperate
9063,SH601688,SZ000776,2019-05-10 16:57:00,fall
8532,SZ000776,SH601688,2019-05-10 16:57:00,fall
1968,SZ000776,SH601633,2019-05-10 18:22:00,same_industry
1641,SH601633,SZ000776,2019-05-10 18:22:00,same_industry
4524,SH601633,SZ000776,2019-05-10 18:22:00,increase_holding
4610,SZ000776,SH601633,2019-05-10 18:22:00,increase_holding
6591,SZ002410,SH601168,2019-05-13 08:21:00,cooperate
7419,SH601168,SZ002410,2019-05-13 08:21:00,cooperate
239,SH600918,SZ000858,2019-05-13 08:31:00,same_industry
3811,SZ000858,SH600918,2019-05-13 08:31:00,same_industry
1638,SH601633,SH601238,2019-05-13 09:00:00,same_industry
2128,SH601238,SH601633,2019-05-13 09:00:00,same_industry
8678,SZ000166,SZ002456,2019-05-13 19:17:00,fall
9034,SZ002456,SZ000166,2019-05-13 19:17:00,fall
2683,SH600369,SH603858,2019-05-13 19:33:00,same_industry
2216,SH603858,SH600369,2019-05-13 19:33:00,same_industry
6601,SH601633,SZ300296,2019-05-13 22:30:00,cooperate
5943,SZ300296,SH601633,2019-05-13 22:30:00,cooperate
3101,SH600008,SZ300059,2019-05-14 03:22:00,same_industry
3412,SZ300059,SH600008,2019-05-14 03:22:00,same_industry
8563,SZ000063,SH600030,2019-05-14 09:20:00,fall
8740,SH600030,SZ000063,2019-05-14 09:20:00,fall
806,SZ002415,SH601211,2019-05-15 02:59:00,same_industry
3773,SH601211,SZ002415,2019-05-15 02:59:00,same_industry
2446,SZ300760,SZ300144,2019-05-15 09:15:00,same_industry
3988,SZ300144,SZ300760,2019-05-15 09:15:00,same_industry
1837,SH601808,SH600583,2019-05-15 09:41:00,same_industry
4160,SH600583,SH601808,2019-05-15 09:41:00,same_industry
9518,SZ000568,SH600519,2019-05-15 14:18:00,rise
9791,SH600519,SZ000568,2019-05-15 14:18:00,rise
5843,SH603019,SH601728,2019-05-15 19:01:00,cooperate
6065,SH601728,SH603019,2019-05-15 19:01:00,cooperate
5114,SZ002450,SH601169,2019-05-15 21:08:00,supply
5355,SH601169,SZ002450,2019-05-15 21:08:00,supply
12739,SZ002450,SH601169,2019-05-16 07:59:00,dispute
12821,SH601169,SZ002450,2019-05-16 07:59:00,dispute
7825,SH601865,SH601012,2019-05-16 10:22:00,cooperate
5881,SH601012,SH601865,2019-05-16 10:22:00,cooperate
7725,SH600297,SZ000625,2019-05-16 20:25:00,cooperate
7045,SZ000625,SH600297,2019-05-16 20:25:00,cooperate
5808,SZ002450,SH601169,2019-05-17 16:01:00,cooperate
6629,SH601169,SZ002450,2019-05-17 16:01:00,cooperate
1398,SZ300498,SZ002714,2019-05-17 17:37:00,same_industry
335,SZ002714,SZ300498,2019-05-17 17:37:00,same_industry
9991,SZ300498,SZ002714,2019-05-17 17:39:00,rise
9341,SZ002714,SZ300498,2019-05-17 17:39:00,rise
5260,SZ000157,SH600031,2019-05-18 10:43:00,supply
5654,SH600031,SZ000157,2019-05-18 10:43:00,supply
3491,SZ002555,SZ000063,2019-05-18 11:35:00,same_industry
2056,SZ000063,SZ002555,2019-05-18 11:35:00,same_industry
1250,SH601198,SH601066,2019-05-19 17:37:00,same_industry
844,SH601066,SH601198,2019-05-19 17:37:00,same_industry
1240,SH601198,SH601066,2019-05-19 17:41:00,same_industry
877,SH601066,SH601198,2019-05-19 17:41:00,same_industry
1501,SH601939,SH601916,2019-05-19 21:05:00,same_industry
2511,SH601916,SH601939,2019-05-19 21:05:00,same_industry
8114,SH600703,SH600958,2019-05-20 19:14:00,fall
8274,SH600958,SH600703,2019-05-20 19:14:00,fall
7210,SH601233,SZ002493,2019-05-20 20:42:00,cooperate
6636,SZ002493,SH601233,2019-05-20 20:42:00,cooperate
1016,SH600519,SH601901,2019-05-21 05:35:00,same_industry
714,SH601901,SH600519,2019-05-21 05:35:00,same_industry
5708,SH601988,SH601169,2019-05-21 16:46:00,cooperate
6628,SH601169,SH601988,2019-05-21 16:46:00,cooperate
9054,SZ002236,SZ002415,2019-05-22 13:42:00,fall
8137,SZ002415,SZ002236,2019-05-22 13:42:00,fall
826,SZ002415,SH600999,2019-05-22 17:13:00,same_industry
825,SZ002415,SH600030,2019-05-22 17:13:00,same_industry
133,SH600999,SZ002415,2019-05-22 17:13:00,same_industry
2896,SH600030,SZ002415,2019-05-22 17:13:00,same_industry
802,SZ002415,SZ002236,2019-05-23 07:31:00,same_industry
3869,SZ002236,SZ002415,2019-05-23 07:31:00,same_industry
5525,SH600118,SZ002465,2019-05-23 07:34:00,supply
5182,SZ002465,SH600118,2019-05-23 07:34:00,supply
5192,SZ002415,SH600030,2019-05-23 08:26:00,supply
5541,SH600030,SZ002415,2019-05-23 08:26:00,supply
5983,SH600000,SZ002555,2019-05-23 11:10:00,cooperate
7536,SZ002555,SH600000,2019-05-23 11:10:00,cooperate
9808,SZ002939,SH601901,2019-05-23 11:30:00,rise
9602,SH601901,SZ002939,2019-05-23 11:30:00,rise
4116,SZ300207,SZ002594,2019-05-23 16:00:00,same_industry
1883,SZ002594,SZ300207,2019-05-23 16:00:00,same_industry
12202,SH600109,SH603195,2019-05-23 18:52:00,be_increased_holding
12133,SH603195,SH600109,2019-05-23 18:52:00,be_increased_holding
12783,SZ000839,SH601212,2019-05-24 08:54:00,dispute
12933,SH601212,SZ000839,2019-05-24 08:54:00,dispute
11425,SZ002236,SZ002415,2019-05-24 13:23:00,rise
9660,SZ002415,SZ002236,2019-05-24 13:23:00,rise
11059,SZ000800,SZ000927,2019-05-24 14:21:00,rise
11459,SZ000927,SZ000800,2019-05-24 14:21:00,rise
6662,SH601818,SZ002230,2019-05-24 19:34:00,cooperate
6017,SZ002230,SH601818,2019-05-24 19:34:00,cooperate
4513,SH600050,SZ000725,2019-05-25 04:27:00,increase_holding
4846,SZ000725,SH600050,2019-05-25 04:27:00,increase_holding
9234,SH688009,SZ000063,2019-05-27 14:28:00,rise
10427,SZ000063,SH688009,2019-05-27 14:28:00,rise
6683,SH600170,SH600820,2019-05-27 15:49:00,cooperate
5856,SH600820,SH600170,2019-05-27 15:49:00,cooperate
3502,SZ000932,SH600000,2019-05-27 17:06:00,same_industry
606,SH600000,SZ000932,2019-05-27 17:06:00,same_industry
4491,SZ300498,SZ002714,2019-05-27 17:39:00,increase_holding
4259,SZ002714,SZ300498,2019-05-27 17:39:00,increase_holding
3896,SH601688,SH600109,2019-05-27 21:15:00,same_industry
2614,SH600109,SH601688,2019-05-27 21:15:00,same_industry
11881,SH601628,SZ300413,2019-05-28 08:25:00,invest
11909,SZ300413,SH601628,2019-05-28 08:25:00,invest
12142,SZ300413,SH601628,2019-05-28 08:28:00,be_increased_holding
12117,SH601628,SZ300413,2019-05-28 08:28:00,be_increased_holding
3838,SZ000858,SH601995,2019-05-28 10:49:00,same_industry
1353,SH601995,SZ000858,2019-05-28 10:49:00,same_industry
3625,SH601398,SH601939,2019-05-28 12:50:00,same_industry
1496,SH601939,SH601398,2019-05-28 12:50:00,same_industry
7166,SH603000,SH600418,2019-05-28 13:06:00,cooperate
7481,SH600418,SH603000,2019-05-28 13:06:00,cooperate
7169,SH600369,SH603259,2019-05-28 19:06:00,cooperate
5996,SH603259,SH600369,2019-05-28 19:06:00,cooperate
852,SH601066,SZ000783,2019-05-28 19:21:00,same_industry
2489,SZ000783,SH601066,2019-05-28 19:21:00,same_industry
5793,SH601328,SH601939,2019-05-29 08:13:00,cooperate
6467,SH601939,SH601328,2019-05-29 08:13:00,cooperate
6503,SH600050,SH600004,2019-05-29 09:38:00,cooperate
6946,SH600004,SH600050,2019-05-29 09:38:00,cooperate
12194,SZ000625,SZ000550,2019-05-29 10:47:00,be_increased_holding
12203,SZ000550,SZ000625,2019-05-29 10:47:00,be_increased_holding
6704,SH600006,SZ300408,2019-05-29 13:27:00,cooperate
7174,SZ300408,SH600006,2019-05-29 13:27:00,cooperate
9619,SH601336,SH601211,2019-05-29 16:12:00,rise
11379,SH601211,SH601336,2019-05-29 16:12:00,rise
6437,SZ002405,SH600151,2019-05-29 16:38:00,cooperate
5773,SH600151,SZ002405,2019-05-29 16:38:00,cooperate
4488,SZ300498,SZ000858,2019-05-29 17:36:00,increase_holding
4966,SZ000858,SZ300498,2019-05-29 17:36:00,increase_holding
7016,SH601668,SZ000008,2019-05-29 20:28:00,cooperate
6003,SZ000008,SH601668,2019-05-29 20:28:00,cooperate
7668,SH600031,SH600050,2019-05-30 13:36:00,cooperate
6517,SH600050,SH600031,2019-05-30 13:36:00,cooperate
2254,SZ000651,SH600519,2019-05-30 17:35:00,same_industry
987,SH600519,SZ000651,2019-05-30 17:35:00,same_industry
6390,SH601995,SH601601,2019-05-30 20:13:00,cooperate
7222,SH601601,SH601995,2019-05-30 20:13:00,cooperate
6654,SH601985,SH601857,2019-05-30 21:07:00,cooperate
7343,SH601857,SH601985,2019-05-30 21:07:00,cooperate
6668,SH600085,SZ002352,2019-05-31 07:59:00,cooperate
7489,SZ002352,SH600085,2019-05-31 07:59:00,cooperate
6612,SH601225,SH600036,2019-05-31 14:40:00,cooperate
6418,SH600036,SH601225,2019-05-31 14:40:00,cooperate
12929,SH601788,SH600036,2019-06-01 07:58:00,dispute
12792,SH600036,SH601788,2019-06-01 07:58:00,dispute
3647,SH600015,SH600016,2019-06-01 13:28:00,same_industry
3477,SH600016,SH600015,2019-06-01 13:28:00,same_industry
341,SZ002450,SH601169,2019-06-02 03:02:00,same_industry
1692,SH601169,SZ002450,2019-06-02 03:02:00,same_industry
1021,SH600519,SH603288,2019-06-02 13:12:00,same_industry
926,SH603288,SH600519,2019-06-02 13:12:00,same_industry
5113,SZ002450,SZ002839,2019-06-02 17:15:00,supply
5809,SZ002450,SZ002839,2019-06-02 17:15:00,cooperate
6616,SZ002839,SZ002450,2019-06-02 17:15:00,cooperate
5350,SZ002839,SZ002450,2019-06-02 17:15:00,supply
7116,SH600317,SH600190,2019-06-02 18:00:00,cooperate
7294,SH600190,SH600317,2019-06-02 18:00:00,cooperate
2598,SH600317,SH600190,2019-06-03 00:47:00,same_industry
3009,SH600190,SH600317,2019-06-03 00:47:00,same_industry
1695,SH601169,SZ002839,2019-06-03 01:30:00,same_industry
1662,SZ002839,SH601169,2019-06-03 01:30:00,same_industry
3821,SZ000858,SZ000568,2019-06-03 07:07:00,same_industry
583,SZ000568,SZ000858,2019-06-03 07:07:00,same_industry
11876,SH601012,SH600438,2019-06-03 15:45:00,invest
11988,SH600438,SH601012,2019-06-03 15:45:00,invest
7139,SH600438,SH601012,2019-06-03 19:55:00,cooperate
5885,SH601012,SH600438,2019-06-03 19:55:00,cooperate
5501,SZ000166,SZ002129,2019-06-03 19:59:00,supply
5665,SZ002129,SZ000166,2019-06-03 19:59:00,supply
8121,SH601111,SH600115,2019-06-04 10:35:00,fall
8528,SH600115,SH601111,2019-06-04 10:35:00,fall
2215,SH603858,SH600085,2019-06-04 11:02:00,same_industry
1750,SH600085,SH603858,2019-06-04 11:02:00,same_industry
6428,SH600036,SH601669,2019-06-04 11:24:00,cooperate
6095,SH601669,SH600036,2019-06-04 11:24:00,cooperate
143,SH600999,SH600030,2019-06-04 17:40:00,same_industry
2848,SH600030,SH600999,2019-06-04 17:40:00,same_industry
6075,SH601728,SH600498,2019-06-04 19:06:00,cooperate
7306,SH600498,SH601728,2019-06-04 19:06:00,cooperate
2356,SZ000625,SZ000550,2019-06-04 19:19:00,same_industry
2662,SZ000550,SZ000625,2019-06-04 19:19:00,same_industry
2444,SZ300760,SH601229,2019-06-04 20:38:00,same_industry
2027,SH601229,SZ300760,2019-06-04 20:38:00,same_industry
3475,SH600016,SH601998,2019-06-05 11:33:00,same_industry
2734,SH601998,SH600016,2019-06-05 11:33:00,same_industry
4087,SH600029,SH600887,2019-06-05 17:00:00,same_industry
3040,SH600887,SH600029,2019-06-05 17:00:00,same_industry
2251,SZ000651,SH601318,2019-06-05 17:47:00,same_industry
4034,SH601318,SZ000651,2019-06-05 17:47:00,same_industry
7063,SH601166,SH601229,2019-06-06 11:26:00,cooperate
6808,SH601229,SH601166,2019-06-06 11:26:00,cooperate
1416,SH600036,SH601166,2019-06-06 17:35:00,same_industry
2421,SH601166,SH600036,2019-06-06 17:35:00,same_industry
1649,SH600745,SZ002049,2019-06-06 21:15:00,same_industry
212,SZ002049,SH600745,2019-06-06 21:15:00,same_industry
2100,SZ000596,SZ000858,2019-06-07 01:36:00,same_industry
3819,SZ000858,SZ000596,2019-06-07 01:36:00,same_industry
3187,SH601658,SH601398,2019-06-07 04:32:00,same_industry
3613,SH601398,SH601658,2019-06-07 04:32:00,same_industry
6242,SZ300750,SZ002594,2019-06-07 17:24:00,cooperate
5383,SZ002594,SZ300750,2019-06-07 17:24:00,supply
5236,SZ300750,SZ002594,2019-06-07 17:24:00,supply
6727,SZ002594,SZ300750,2019-06-07 17:24:00,cooperate
6210,SZ300750,SZ002594,2019-06-08 16:49:00,cooperate
6743,SZ002594,SZ300750,2019-06-08 16:49:00,cooperate
1081,SZ300750,SH601138,2019-06-10 05:50:00,same_industry
4149,SH601138,SZ300750,2019-06-10 05:50:00,same_industry
9673,SH601066,SZ000858,2019-06-10 07:50:00,rise
11408,SZ000858,SH601066,2019-06-10 07:50:00,rise
6835,SZ000063,SZ000400,2019-06-10 11:08:00,cooperate
7493,SZ000400,SZ000063,2019-06-10 11:08:00,cooperate
4316,SH601628,SH601318,2019-06-10 13:12:00,increase_holding
5020,SH601318,SH601628,2019-06-10 13:12:00,increase_holding
4408,SH600519,SH601318,2019-06-10 17:29:00,increase_holding
5032,SH601318,SH600519,2019-06-10 17:29:00,increase_holding
3628,SH601398,SH601988,2019-06-10 19:39:00,same_industry
47,SH601988,SH601398,2019-06-10 19:39:00,same_industry
9174,SH601138,SZ300750,2019-06-10 20:53:00,fall
8246,SZ300750,SH601138,2019-06-10 20:53:00,fall
9961,SH601766,SH601186,2019-06-11 09:31:00,rise
11005,SH601186,SH601766,2019-06-11 09:31:00,rise
7186,SH600837,SH600643,2019-06-11 09:56:00,cooperate
6292,SH600643,SH600837,2019-06-11 09:56:00,cooperate
10506,SZ002945,SH601881,2019-06-11 11:30:00,rise
9909,SH601881,SZ002945,2019-06-11 11:30:00,rise
9725,SH600117,SZ002110,2019-06-11 13:39:00,rise
10746,SZ002110,SH600117,2019-06-11 13:39:00,rise
7293,SH600190,SH600317,2019-06-12 02:57:00,cooperate
7115,SH600317,SH600190,2019-06-12 02:57:00,cooperate
6983,SH600150,SZ300750,2019-06-12 07:34:00,cooperate
6264,SZ300750,SH600150,2019-06-12 07:34:00,cooperate
11886,SH600266,SZ002736,2019-06-12 15:41:00,invest
11864,SZ002736,SH600266,2019-06-12 15:41:00,invest
8677,SZ000166,SH600352,2019-06-12 18:53:00,fall
8155,SH600352,SZ000166,2019-06-12 18:53:00,fall
3943,SZ300015,SZ300347,2019-06-13 02:38:00,same_industry
1846,SZ300347,SZ300015,2019-06-13 02:38:00,same_industry
4066,SZ000963,SZ002371,2019-06-13 03:35:00,same_industry
1473,SZ002371,SZ000963,2019-06-13 03:35:00,same_industry
1867,SZ002594,SH600104,2019-06-13 08:26:00,same_industry
568,SH600104,SZ002594,2019-06-13 08:26:00,same_industry
5720,SH601988,SH600663,2019-06-13 08:37:00,cooperate
6157,SH600663,SH601988,2019-06-13 08:37:00,cooperate
5711,SH601988,SH601818,2019-06-13 11:06:00,cooperate
6663,SH601818,SH601988,2019-06-13 11:06:00,cooperate
10178,SZ000723,SH601788,2019-06-13 17:30:00,rise
11287,SH601788,SZ000723,2019-06-13 17:30:00,rise
11434,SH601688,SZ000723,2019-06-13 19:51:00,rise
10180,SZ000723,SH601688,2019-06-13 19:51:00,rise
5723,SH601988,SH601939,2019-06-14 10:05:00,cooperate
6449,SH601939,SH601988,2019-06-14 10:05:00,cooperate
6999,SH600150,SZ300750,2019-06-14 11:49:00,cooperate
6223,SZ300750,SH600150,2019-06-14 11:49:00,cooperate
7347,SH601857,SH600050,2019-06-15 20:03:00,cooperate
6535,SH600050,SH601857,2019-06-15 20:03:00,cooperate
2811,SH601601,SH600663,2019-06-15 21:58:00,same_industry
918,SH600663,SH601601,2019-06-15 21:58:00,same_industry
2457,SZ300760,SH601138,2019-06-16 04:33:00,same_industry
4144,SH601138,SZ300760,2019-06-16 04:33:00,same_industry
3506,SH601127,SH601066,2019-06-16 19:39:00,same_industry
863,SH601066,SH601127,2019-06-16 19:39:00,same_industry
3894,SH601688,SH601995,2019-06-17 07:11:00,same_industry
1390,SH601995,SH601688,2019-06-17 07:11:00,same_industry
3573,SH601788,SH600036,2019-06-17 08:29:00,same_industry
1420,SH600036,SH601788,2019-06-17 08:29:00,same_industry
10936,SH600332,SH600196,2019-06-17 09:21:00,rise
10580,SH600196,SH600332,2019-06-17 09:21:00,rise
437,SZ000002,SH600383,2019-06-17 15:04:00,same_industry
1328,SH600383,SZ000002,2019-06-17 15:04:00,same_industry
3820,SZ000858,SH601318,2019-06-17 17:36:00,same_industry
4055,SH601318,SZ000858,2019-06-17 17:36:00,same_industry
7488,SZ002352,SH601601,2019-06-17 19:10:00,cooperate
7223,SH601601,SZ002352,2019-06-17 19:10:00,cooperate
5740,SH603185,SZ300316,2019-06-17 19:34:00,cooperate
7558,SZ300316,SH603185,2019-06-17 19:34:00,cooperate
738,SH600267,SZ300122,2019-06-17 21:53:00,same_industry
2628,SZ300122,SH600267,2019-06-17 21:53:00,same_industry
1579,SH600028,SH601111,2019-06-17 22:45:00,same_industry
787,SH601111,SH600028,2019-06-17 22:45:00,same_industry
11130,SZ002797,SH600061,2019-06-18 07:19:00,rise
11542,SH600061,SZ002797,2019-06-18 07:19:00,rise
1610,SH601319,SH601066,2019-06-18 08:31:00,same_industry
879,SH601066,SH601319,2019-06-18 08:31:00,same_industry
3611,SH601398,SH600276,2019-06-18 17:37:00,same_industry
201,SH600276,SH601398,2019-06-18 17:37:00,same_industry
10618,SZ002157,SH601881,2019-06-18 19:52:00,rise
9914,SH601881,SZ002157,2019-06-18 19:52:00,rise
9916,SH601881,SZ002945,2019-06-19 09:51:00,rise
10501,SZ002945,SH601881,2019-06-19 09:51:00,rise
8337,SH600036,SH601888,2019-06-19 09:58:00,fall
8853,SH601888,SH600036,2019-06-19 09:58:00,fall
10574,SH600017,SH601318,2019-06-19 16:11:00,rise
11563,SH601318,SH600017,2019-06-19 16:11:00,rise
2907,SH600030,SH601162,2019-06-20 06:39:00,same_industry
417,SH601162,SH600030,2019-06-20 06:39:00,same_industry
7799,SH601727,SH600875,2019-06-20 08:26:00,cooperate
6166,SH600875,SH601727,2019-06-20 08:26:00,cooperate
9691,SH601066,SH600017,2019-06-20 16:12:00,rise
10571,SH600017,SH601066,2019-06-20 16:12:00,rise
255,SZ002736,SH601990,2019-06-21 07:16:00,same_industry
3715,SH601990,SZ002736,2019-06-21 07:16:00,same_industry
4918,SH601398,SH601318,2019-06-21 08:13:00,increase_holding
5019,SH601318,SH601398,2019-06-21 08:13:00,increase_holding
12787,SZ000839,SH601169,2019-06-21 16:33:00,dispute
12822,SH601169,SZ000839,2019-06-21 16:33:00,dispute
12784,SZ000839,SH601169,2019-06-21 16:34:00,dispute
12826,SH601169,SZ000839,2019-06-21 16:34:00,dispute
2232,SZ000651,SH601318,2019-06-21 19:15:00,same_industry
4049,SH601318,SZ000651,2019-06-21 19:15:00,same_industry
821,SZ002415,SZ300136,2019-06-22 04:18:00,same_industry
1272,SZ300136,SZ002415,2019-06-22 04:18:00,same_industry
3054,SH600048,SZ000002,2019-06-22 10:14:00,same_industry
434,SZ000002,SH600048,2019-06-22 10:14:00,same_industry
1959,SZ000776,SZ000166,2019-06-23 18:54:00,same_industry
2559,SZ000166,SZ000776,2019-06-23 18:54:00,same_industry
2782,SH601233,SZ000703,2019-06-23 22:09:00,same_industry
1482,SZ000703,SH601233,2019-06-23 22:09:00,same_industry
9488,SH601628,SZ300168,2019-06-24 09:32:00,rise
9946,SZ300168,SH601628,2019-06-24 09:32:00,rise
6608,SH600745,SH600016,2019-06-24 16:04:00,cooperate
7529,SH600016,SH600745,2019-06-24 16:04:00,cooperate
11880,SH601628,SZ300168,2019-06-24 18:00:00,invest
11908,SZ300168,SH601628,2019-06-24 18:00:00,invest
12581,SZ000562,SZ000166,2019-06-24 20:11:00,superior
12570,SZ000166,SZ000562,2019-06-24 20:11:00,superior
3763,SH601211,SH600030,2019-06-25 07:38:00,same_industry
2854,SH600030,SH601211,2019-06-25 07:38:00,same_industry
8219,SH600519,SZ000858,2019-06-25 07:53:00,fall
9042,SZ000858,SH600519,2019-06-25 07:53:00,fall
9807,SZ002939,SH601162,2019-06-25 10:17:00,rise
9389,SH601162,SZ002939,2019-06-25 10:17:00,rise
8336,SH600036,SH600000,2019-06-25 13:20:00,fall
8046,SH600000,SH600036,2019-06-25 13:20:00,fall
8350,SH601939,SH601398,2019-06-25 13:31:00,fall
8996,SH601398,SH601939,2019-06-25 13:31:00,fall
10504,SZ002945,SZ002939,2019-06-25 15:01:00,rise
9810,SZ002939,SZ002945,2019-06-25 15:01:00,rise
154,SH600999,SH601211,2019-06-25 17:21:00,same_industry
3746,SH601211,SH600999,2019-06-25 17:21:00,same_industry
12135,SH600690,SH600690,2019-06-25 18:26:00,be_increased_holding
12485,SH600690,SH600690,2019-06-25 18:27:00,superior
11708,SH601066,SH600030,2019-06-25 20:36:00,reduce_holding
11785,SH600030,SH601066,2019-06-25 20:36:00,reduce_holding
128,SH600999,SH600036,2019-06-25 22:58:00,same_industry
1453,SH600036,SH600999,2019-06-25 22:58:00,same_industry
