,e1,e2,time,r
9364,SZ000961,SZ002146,2018-01-16 00:00:00,rise
9954,SH600809,SZ000729,2018-01-16 00:00:00,rise
7990,SH600585,SH601688,2018-01-16 00:00:00,fall
9065,SH601688,SH600585,2018-01-16 00:00:00,fall
4307,SH601828,SH601838,2018-01-16 00:00:00,increase_holding
2526,SZ000166,SH601166,2018-01-16 00:00:00,same_industry
7999,SZ000002,SH601318,2018-01-16 00:00:00,fall
9115,SH601318,SZ000002,2018-01-16 00:00:00,fall
8093,SH601901,SH600519,2018-01-16 00:00:00,fall
155,SH601838,SZ002839,2018-01-16 00:00:00,same_industry
9156,SH600029,SH601021,2018-01-16 00:00:00,fall
2416,SH601166,SZ000166,2018-01-16 00:00:00,same_industry
8299,SH601021,SH600029,2018-01-16 00:00:00,fall
1665,SZ002839,SH601838,2018-01-16 00:00:00,same_industry
4203,SH601838,SH601828,2018-01-16 00:00:00,increase_holding
2071,SZ000063,SH600050,2018-01-16 16:15:00,same_industry
1535,SH600050,SZ000063,2018-01-16 16:15:00,same_industry
10210,SH601108,SZ002736,2018-01-17 00:00:00,rise
4299,SH601012,SH601225,2018-01-17 00:00:00,increase_holding
436,SZ000002,SH600519,2018-01-17 00:00:00,same_industry
8119,SH601111,SH600029,2018-01-17 00:00:00,fall
4292,SZ300433,SZ000776,2018-01-17 00:00:00,increase_holding
8612,SZ000651,SZ000858,2018-01-17 00:00:00,fall
9283,SZ002736,SH601108,2018-01-17 00:00:00,rise
4532,SH601225,SH601012,2018-01-17 00:00:00,increase_holding
11936,SH601225,SH601012,2018-01-17 00:00:00,invest
956,SH600519,SZ000002,2018-01-17 00:00:00,same_industry
9155,SH600029,SH601111,2018-01-17 00:00:00,fall
4603,SZ000776,SZ300433,2018-01-17 00:00:00,increase_holding
9037,SZ000858,SZ000651,2018-01-17 00:00:00,fall
11874,SH601012,SH601225,2018-01-17 00:00:00,invest
7238,SH600030,SH601288,2018-01-18 00:00:00,cooperate
6022,SZ002230,SH601166,2018-01-18 00:00:00,cooperate
11739,SH601225,SH601012,2018-01-18 00:00:00,reduce_holding
7059,SH601166,SZ002230,2018-01-18 00:00:00,cooperate
6611,SH601225,SH601012,2018-01-18 00:00:00,cooperate
2225,SZ000651,SH600519,2018-01-18 00:00:00,same_industry
12332,SH601225,SH601012,2018-01-18 00:00:00,be_reduced_holding
4297,SH601012,SH601225,2018-01-18 00:00:00,increase_holding
5888,SH601012,SH601225,2018-01-18 00:00:00,cooperate
995,SH600519,SZ000651,2018-01-18 00:00:00,same_industry
4533,SH601225,SH601012,2018-01-18 00:00:00,increase_holding
12290,SH601012,SH601225,2018-01-18 00:00:00,be_reduced_holding
11683,SH601012,SH601225,2018-01-18 00:00:00,reduce_holding
7323,SH601288,SH600030,2018-01-18 00:00:00,cooperate
7021,SH603833,SH601828,2018-01-22 00:00:00,cooperate
7069,SH601166,SZ002230,2018-01-22 00:00:00,cooperate
7855,SH600000,SZ000776,2018-01-22 00:00:00,compete
7869,SZ000776,SH600000,2018-01-22 00:00:00,compete
1813,SZ300628,SH601901,2018-01-22 00:00:00,same_industry
5897,SH601828,SH603833,2018-01-22 00:00:00,cooperate
4668,SH601668,SH600519,2018-01-22 00:00:00,increase_holding
4402,SH600519,SH601668,2018-01-22 00:00:00,increase_holding
6005,SZ002230,SH601166,2018-01-22 00:00:00,cooperate
704,SH601901,SZ300628,2018-01-22 00:00:00,same_industry
4607,SZ000776,SH603799,2018-01-23 00:00:00,increase_holding
10095,SZ300104,SZ000951,2018-01-23 00:00:00,rise
246,SH601006,SH601233,2018-01-23 00:00:00,same_industry
9282,SH601006,SH601233,2018-01-23 00:00:00,rise
10770,SH601233,SH601006,2018-01-23 00:00:00,rise
2781,SH601233,SH601006,2018-01-23 00:00:00,same_industry
7022,SH603833,SH601828,2018-01-23 00:00:00,cooperate
10357,SZ000671,SZ000002,2018-01-23 00:00:00,rise
5899,SH601828,SH603833,2018-01-23 00:00:00,cooperate
4748,SH603799,SZ000776,2018-01-23 00:00:00,increase_holding
10986,SZ000951,SZ300104,2018-01-23 00:00:00,rise
9421,SZ000002,SZ000671,2018-01-23 00:00:00,rise
10940,SH601288,SH600036,2018-01-24 00:00:00,rise
8818,SH601288,SH600036,2018-01-24 00:00:00,fall
8327,SH600036,SH601288,2018-01-24 00:00:00,fall
9999,SH600036,SH601288,2018-01-24 00:00:00,rise
4275,SH603019,SZ000166,2018-01-25 00:00:00,increase_holding
4718,SZ000166,SH603019,2018-01-25 00:00:00,increase_holding
8378,SZ300104,SH600030,2018-01-25 00:00:00,fall
8742,SH600030,SZ300104,2018-01-25 00:00:00,fall
1153,SZ000898,SH600010,2018-01-25 00:00:00,same_industry
2190,SH600010,SZ000898,2018-01-25 00:00:00,same_industry
5391,SZ002594,SZ000825,2018-01-26 00:00:00,supply
3261,SZ000725,SH600809,2018-01-26 00:00:00,same_industry
702,SH601901,SZ300104,2018-01-26 00:00:00,same_industry
1664,SZ002839,SH601229,2018-01-26 00:00:00,same_industry
2794,SZ002500,SZ300104,2018-01-26 00:00:00,same_industry
2013,SH601229,SZ002839,2018-01-26 00:00:00,same_industry
11719,SZ000157,SH600036,2018-01-26 00:00:00,reduce_holding
