,e1,e2,time
165,SH600026,SH600029,2018-10-01
166,SH600026,SH603885,2018-10-01
167,SH600026,SH601111,2018-10-01
168,SH600026,SH600221,2018-10-01
169,SH600026,SH601021,2018-10-01
170,SH600026,SH600115,2018-10-01
171,SH600026,SH600004,2018-10-01
172,SH600026,SZ000089,2018-10-01
173,SH600026,SH600009,2018-10-01
174,SH600026,SH600611,2018-10-01
175,SH600026,SH600834,2018-10-01
176,SH600026,SH600269,2018-10-01
177,SH600026,SH600350,2018-10-01
178,SH600026,SZ000755,2018-10-01
179,SH600026,SH600020,2018-10-01
180,SH600026,SZ000088,2018-10-01
181,SH600026,SH601107,2018-10-01
182,SH600026,SH600377,2018-10-01
183,SH600026,SZ000900,2018-10-01
184,SH600026,SH600548,2018-10-01
185,SH600026,SH600033,2018-10-01
186,SH600026,SZ000828,2018-10-01
187,SH600026,SZ001965,2018-10-01
188,SH600026,SH600035,2018-10-01
189,SH600026,SH601333,2018-10-01
190,SH600026,SH601006,2018-10-01
191,SH600027,SH600333,2018-10-01
192,SH600027,SH600635,2018-10-01
193,SH600027,SH601139,2018-10-01
194,SH600028,SH600583,2018-10-01
195,SH600028,SH600339,2018-10-01
196,SH600028,SH601808,2018-10-01
197,SH600028,SH600871,2018-10-01
198,SH600028,SH600968,2018-10-01
199,SH600028,SZ000968,2018-10-01
200,SH600029,SZ000520,2018-10-01
201,SH600029,SH600428,2018-10-01
202,SH600029,SH601919,2018-10-01
203,SH600029,SH601872,2018-10-01
204,SH600029,SH601866,2018-10-01
205,SH600029,SH600026,2018-10-01
206,SH600029,SZ002183,2018-10-01
207,SH600029,SZ002010,2018-10-01
208,SH600029,SH600153,2018-10-01
209,SH600029,SH600704,2018-10-01
210,SH600029,SZ002468,2018-10-01
211,SH600029,SZ002120,2018-10-01
212,SH600029,SH600233,2018-10-01
213,SH600029,SZ002352,2018-10-01
214,SH600029,SH600787,2018-10-01
215,SH600029,SH600611,2018-10-01
216,SH600029,SH600834,2018-10-01
217,SH600029,SH600269,2018-10-01
218,SH600029,SH600350,2018-10-01
219,SH600029,SZ000755,2018-10-01
220,SH600029,SH600020,2018-10-01
221,SH600029,SZ000088,2018-10-01
222,SH600029,SH601107,2018-10-01
223,SH600029,SH600377,2018-10-01
224,SH600029,SZ000900,2018-10-01
225,SH600029,SH600548,2018-10-01
226,SH600029,SH600033,2018-10-01
227,SH600029,SZ000828,2018-10-01
228,SH600029,SZ001965,2018-10-01
229,SH600029,SH600035,2018-10-01
230,SH600029,SH601333,2018-10-01
231,SH600029,SH601006,2018-10-01
232,SH600030,SH601336,2018-10-01
233,SH600030,SH601601,2018-10-01
234,SH600030,SH601318,2018-10-01
235,SH600030,SZ000627,2018-10-01
236,SH600030,SH601319,2018-10-01
237,SH600030,SH601628,2018-10-01
238,SH600030,SH600643,2018-10-01
239,SH600030,SZ000617,2018-10-01
240,SH600030,SH600390,2018-10-01
241,SH600030,SH600705,2018-10-01
242,SH600030,SH600061,2018-10-01
243,SH600030,SH600816,2018-10-01
244,SH600030,SZ000415,2018-10-01
245,SH600033,SZ000520,2018-10-01
246,SH600033,SH600428,2018-10-01
247,SH600033,SH601919,2018-10-01
248,SH600033,SH601872,2018-10-01
249,SH600033,SH601866,2018-10-01
250,SH600033,SH600026,2018-10-01
251,SH600033,SZ002183,2018-10-01
252,SH600033,SZ002010,2018-10-01
253,SH600033,SH600153,2018-10-01
254,SH600033,SH600704,2018-10-01
255,SH600033,SZ002468,2018-10-01
256,SH600033,SZ002120,2018-10-01
257,SH600033,SH600233,2018-10-01
258,SH600033,SZ002352,2018-10-01
259,SH600033,SH600787,2018-10-01
260,SH600033,SZ000099,2018-10-01
261,SH600033,SH600029,2018-10-01
262,SH600033,SH603885,2018-10-01
263,SH600033,SH601111,2018-10-01
264,SH600033,SH600221,2018-10-01
265,SH600033,SH601021,2018-10-01
266,SH600033,SH600115,2018-10-01
267,SH600033,SH600004,2018-10-01
268,SH600033,SZ000089,2018-10-01
269,SH600033,SH600009,2018-10-01
270,SH600035,SZ000520,2018-10-01
271,SH600035,SH600428,2018-10-01
272,SH600035,SH601919,2018-10-01
273,SH600035,SH601872,2018-10-01
274,SH600035,SH601866,2018-10-01
275,SH600035,SH600026,2018-10-01
276,SH600035,SZ002183,2018-10-01
277,SH600035,SZ002010,2018-10-01
278,SH600035,SH600153,2018-10-01
279,SH600035,SH600704,2018-10-01
280,SH600035,SZ002468,2018-10-01
281,SH600035,SZ002120,2018-10-01
282,SH600035,SH600233,2018-10-01
283,SH600035,SZ002352,2018-10-01
284,SH600035,SH600787,2018-10-01
285,SH600035,SZ000099,2018-10-01
286,SH600035,SH600029,2018-10-01
287,SH600035,SH603885,2018-10-01
288,SH600035,SH601111,2018-10-01
289,SH600035,SH600221,2018-10-01
290,SH600035,SH601021,2018-10-01
291,SH600035,SH600115,2018-10-01
292,SH600035,SH600004,2018-10-01
293,SH600035,SZ000089,2018-10-01
294,SH600035,SH600009,2018-10-01
295,SH600036,SH601169,2018-10-01
296,SH600036,SH601009,2018-10-01
297,SH600036,SH600919,2018-10-01
298,SH600036,SZ002142,2018-10-01
299,SH600036,SH601997,2018-10-01
300,SH600036,SH601229,2018-10-01
301,SH600036,SH600926,2018-10-01
302,SH600036,SH601577,2018-10-01
303,SH600036,SH601838,2018-10-01
304,SH600036,SH600928,2018-10-01
305,SH600036,SZ002839,2018-10-01
306,SH600036,SZ002958,2018-10-01
307,SH600036,SH601398,2018-10-01
308,SH600036,SH601288,2018-10-01
309,SH600036,SH601328,2018-10-01
310,SH600037,SH601098,2018-10-01
311,SH600037,SH601928,2018-10-01
312,SH600037,SZ000793,2018-10-01
313,SH600037,SH600373,2018-10-01
314,SH600037,SH601801,2018-10-01
315,SH600037,SZ300251,2018-10-01
316,SH600037,SZ300133,2018-10-01
317,SH600037,SZ300182,2018-10-01
318,SH600037,SZ300027,2018-10-01
319,SH600037,SZ002292,2018-10-01
320,SH600037,SH600977,2018-10-01
321,SH600037,SZ002739,2018-10-01
322,SH600037,SH600088,2018-10-01
323,SH600037,SZ002400,2018-10-01
324,SH600037,SZ002131,2018-10-01
325,SH600037,SZ300058,2018-10-01
326,SH600037,SZ002027,2018-10-01
327,SH600037,SZ002624,2018-10-01
328,SH600037,SZ300002,2018-10-01
329,SH600037,SZ002174,2018-10-01
330,SH600037,SZ002602,2018-10-01
331,SH600037,SH600633,2018-10-01
332,SH600037,SZ002555,2018-10-01
333,SH600037,SZ002558,2018-10-01
334,SH600037,SZ300315,2018-10-01
335,SH600037,SZ300413,2018-10-01
336,SH600037,SH603000,2018-10-01
337,SH600050,SZ000063,2018-10-01
338,SH600050,SH600498,2018-10-01
339,SH600050,SZ002194,2018-10-01
340,SH600050,SH600487,2018-10-01
341,SH600050,SH600522,2018-10-01
342,SH600058,SZ002416,2018-10-01
343,SH600058,SZ000829,2018-10-01
344,SH600058,SZ002024,2018-10-01
